,IP,Pit,Str,BA,OBP,SLG,OPS,SO
2822,4.2,83.0,52.0,0.245,0.311,0.425,0.735,2.0
2823,5.2,98.0,65.0,0.217,0.3,0.383,0.682,7.0
2824,5.0,76.0,49.0,0.233,0.315,0.356,0.671,8.0
2825,5.0,84.0,56.0,0.26,0.324,0.4,0.724,3.0
2826,3.0,39.0,28.0,0.205,0.29,0.335,0.626,5.0
2827,3.0,46.0,30.0,0.223,0.277,0.317,0.594,5.0
2828,1.2,44.0,28.0,0.281,0.392,0.547,0.939,5.0
2829,8.0,80.0,50.0,0.237,0.305,0.376,0.681,1.0
2830,5.0,89.0,55.0,0.24,0.312,0.388,0.7,6.0
2831,5.1,88.0,57.0,0.257,0.331,0.41,0.74,5.0
2832,5.2,82.0,51.0,0.242,0.309,0.384,0.693,5.0
2833,6.0,77.0,57.0,0.257,0.328,0.407,0.735,4.0
2834,3.0,56.0,29.0,0.236,0.318,0.414,0.732,3.0
2835,1.0,43.0,30.0,0.253,0.315,0.422,0.738,2.0
2836,7.0,80.0,50.0,0.239,0.308,0.375,0.683,1.0
2837,5.1,85.0,51.0,0.235,0.319,0.394,0.713,4.0
2838,5.0,69.0,46.0,0.236,0.304,0.389,0.693,1.0
2839,5.1,80.0,54.0,0.241,0.32,0.419,0.739,5.0
2840,6.0,80.0,50.0,0.246,0.321,0.4,0.721,2.0
2841,3.1,48.0,31.0,0.262,0.325,0.408,0.733,2.0
2842,6.2,94.0,73.0,0.238,0.306,0.374,0.681,3.0
2843,6.0,85.0,54.0,0.239,0.317,0.418,0.735,4.0
2844,5.0,96.0,66.0,0.254,0.322,0.398,0.72,4.0
2845,1.2,53.0,34.0,0.256,0.325,0.401,0.725,3.0
2846,5.1,91.0,54.0,0.236,0.313,0.366,0.679,2.0
2847,2.2,70.0,44.0,0.241,0.326,0.397,0.723,2.0
2848,3.2,55.0,35.0,0.226,0.301,0.316,0.617,4.0
2849,4.0,59.0,41.0,0.207,0.281,0.332,0.613,6.0
2850,3.0,60.0,35.0,0.254,0.34,0.407,0.747,4.0
2851,4.1,77.0,41.0,0.23,0.298,0.328,0.627,2.0
2852,4.0,64.0,42.0,0.263,0.351,0.495,0.846,2.0
2853,4.2,95.0,57.0,0.242,0.321,0.413,0.734,9.0
2854,5.0,80.0,50.0,0.234,0.301,0.375,0.675,2.0
2855,4.0,80.0,50.0,0.257,0.334,0.418,0.752,5.0
2856,3.0,68.0,39.0,0.233,0.307,0.403,0.71,6.0
2857,5.0,90.0,53.0,0.239,0.312,0.395,0.707,1.0
2858,4.2,80.0,50.0,0.237,0.313,0.382,0.695,4.0
2859,4.0,85.0,51.0,0.247,0.336,0.427,0.763,5.0
2860,4.2,80.0,50.0,0.236,0.308,0.389,0.698,4.0
2861,4.0,100.0,53.0,0.252,0.333,0.426,0.76,4.0
2862,6.0,92.0,53.0,0.239,0.318,0.4,0.719,5.0
2863,5.1,90.0,59.0,0.243,0.326,0.434,0.761,4.0
2864,5.1,88.0,46.0,0.232,0.312,0.377,0.69,9.0
2865,4.2,80.0,50.0,0.239,0.322,0.424,0.747,3.0
2866,4.2,95.0,56.0,0.219,0.309,0.378,0.688,4.0
2867,5.0,89.0,53.0,0.226,0.299,0.374,0.674,6.0
2868,4.2,84.0,47.0,0.229,0.3,0.393,0.693,2.0
2869,5.0,80.0,50.0,0.213,0.302,0.372,0.674,2.0
2870,4.0,76.0,42.0,0.241,0.305,0.386,0.691,8.0
2871,1.1,49.0,24.0,0.24,0.323,0.405,0.728,3.0
2872,5.0,94.0,55.0,0.227,0.309,0.414,0.724,1.0
2873,5.0,94.0,62.0,0.226,0.315,0.402,0.717,7.0
2874,6.0,93.0,58.0,0.225,0.314,0.398,0.712,5.0
2875,5.0,80.0,50.0,0.228,0.303,0.396,0.699,5.0
2876,4.0,81.0,48.0,0.241,0.311,0.391,0.702,2.0
2877,0.2,28.0,15.0,0.158,0.246,0.298,0.545,3.0
2878,5.2,95.0,60.0,0.255,0.329,0.421,0.751,6.0
2879,8.0,92.0,65.0,0.254,0.314,0.394,0.708,6.0
2880,5.0,95.0,65.0,0.276,0.344,0.503,0.848,7.0
2881,6.0,98.0,65.0,0.253,0.327,0.425,0.753,4.0
2882,8.0,93.0,64.0,0.254,0.329,0.418,0.747,8.0
2883,6.0,98.0,68.0,0.24,0.318,0.418,0.736,6.0
2884,6.0,91.0,61.0,0.251,0.328,0.416,0.744,12.0
2885,5.0,91.0,57.0,0.271,0.341,0.499,0.84,7.0
2886,5.0,90.0,59.0,0.234,0.313,0.379,0.691,4.0
2887,5.2,108.0,70.0,0.255,0.319,0.414,0.733,5.0
2888,5.0,101.0,63.0,0.255,0.332,0.447,0.78,8.0
2889,6.0,102.0,69.0,0.252,0.315,0.382,0.697,7.0
2890,7.0,99.0,57.0,0.259,0.327,0.429,0.756,1.0
2891,5.0,101.0,66.0,0.242,0.328,0.444,0.772,4.0
2892,6.0,104.0,68.0,0.233,0.322,0.396,0.718,7.0
2893,7.0,107.0,74.0,0.26,0.321,0.396,0.717,5.0
2894,5.0,99.0,61.0,0.228,0.306,0.377,0.683,5.0
2895,7.0,106.0,61.0,0.24,0.319,0.396,0.715,7.0
2896,5.1,101.0,59.0,0.221,0.301,0.356,0.657,7.0
2897,6.0,101.0,74.0,0.249,0.32,0.419,0.74,1.0
2898,6.0,97.0,59.0,0.229,0.31,0.383,0.693,8.0
2899,6.0,84.0,58.0,0.266,0.329,0.435,0.764,8.0
2900,7.0,93.0,70.0,0.251,0.331,0.415,0.746,8.0
2901,9.0,103.0,77.0,0.254,0.318,0.391,0.709,13.0
2902,5.0,100.0,72.0,0.28,0.351,0.524,0.875,8.0
2903,6.0,97.0,66.0,0.223,0.317,0.438,0.755,8.0
2904,6.0,89.0,60.0,0.235,0.319,0.358,0.676,10.0
2905,6.0,91.0,60.0,0.276,0.349,0.421,0.77,5.0
2906,6.0,94.0,64.0,0.249,0.333,0.376,0.709,3.0
2907,7.0,107.0,78.0,0.261,0.332,0.445,0.777,7.0
2908,4.2,100.0,63.0,0.212,0.333,0.394,0.727,7.0
2909,5.0,97.0,57.0,0.237,0.306,0.376,0.682,5.0
2910,6.0,96.0,61.0,0.24,0.311,0.388,0.698,5.0
2911,6.0,80.0,50.0,0.258,0.33,0.41,0.74,7.0
2912,7.0,91.0,57.0,0.257,0.329,0.43,0.759,6.0
2913,6.0,100.0,65.0,0.256,0.327,0.405,0.732,6.0
2914,6.0,80.0,50.0,0.236,0.317,0.414,0.731,2.0
2915,3.2,82.0,53.0,0.252,0.317,0.444,0.761,10.0
2916,2.0,46.0,28.0,0.252,0.313,0.406,0.719,5.0
2917,5.1,97.0,62.0,0.228,0.306,0.387,0.692,1.0
2918,6.0,80.0,50.0,0.236,0.304,0.389,0.693,3.0
2919,6.0,86.0,52.0,0.246,0.31,0.414,0.724,1.0
2920,6.0,74.0,51.0,0.238,0.302,0.377,0.679,3.0
2921,6.0,95.0,62.0,0.262,0.325,0.407,0.732,7.0
2922,7.0,95.0,61.0,0.241,0.306,0.39,0.696,6.0
2923,6.0,95.0,60.0,0.242,0.325,0.44,0.765,5.0
2924,4.0,93.0,53.0,0.254,0.322,0.383,0.705,7.0
2925,5.0,96.0,62.0,0.232,0.295,0.373,0.668,4.0
2926,6.0,92.0,53.0,0.238,0.322,0.4,0.723,5.0
2927,5.1,97.0,62.0,0.253,0.32,0.395,0.716,4.0
2928,6.0,95.0,55.0,0.221,0.279,0.321,0.6,2.0
2929,5.0,80.0,50.0,0.251,0.337,0.43,0.766,7.0
2930,3.1,57.0,37.0,0.262,0.326,0.402,0.728,5.0
2931,2.2,55.0,28.0,0.233,0.312,0.368,0.679,2.0
2932,4.2,80.0,51.0,0.221,0.295,0.362,0.657,4.0
2933,4.1,86.0,48.0,0.205,0.275,0.323,0.598,2.0
2934,6.0,85.0,56.0,0.234,0.326,0.376,0.702,3.0
2935,4.2,80.0,50.0,0.211,0.283,0.342,0.625,5.0
2936,5.1,75.0,58.0,0.208,0.291,0.348,0.639,1.0
2937,3.2,84.0,50.0,0.23,0.293,0.32,0.613,7.0
2938,4.0,70.0,44.0,0.281,0.392,0.547,0.939,4.0
2939,4.0,92.0,55.0,0.235,0.31,0.407,0.717,3.0
2940,5.2,83.0,46.0,0.248,0.327,0.426,0.753,2.0
2941,5.0,80.0,50.0,0.249,0.327,0.428,0.755,2.0
2942,5.0,86.0,57.0,0.243,0.308,0.403,0.711,3.0
2943,6.0,80.0,50.0,0.23,0.304,0.399,0.703,6.0
2944,5.1,90.0,51.0,0.237,0.31,0.391,0.701,8.0
2945,5.0,89.0,56.0,0.238,0.31,0.392,0.702,2.0
2946,4.1,77.0,51.0,0.234,0.319,0.401,0.72,6.0
2947,5.0,100.0,57.0,0.254,0.335,0.431,0.767,3.0
2948,5.0,80.0,56.0,0.242,0.32,0.402,0.723,4.0
2949,2.2,72.0,41.0,0.24,0.338,0.405,0.743,2.0
2950,2.0,45.0,27.0,0.23,0.3,0.363,0.663,3.0
2951,5.0,78.0,49.0,0.235,0.301,0.383,0.684,2.0
2952,5.0,89.0,58.0,0.235,0.317,0.44,0.757,6.0
2953,5.0,92.0,58.0,0.225,0.314,0.399,0.714,6.0
2954,3.1,65.0,42.0,0.247,0.325,0.433,0.758,8.0
2955,5.2,83.0,48.0,0.229,0.315,0.354,0.67,2.0
2956,2.1,83.0,44.0,0.235,0.304,0.385,0.689,5.0
2957,5.0,80.0,57.0,0.217,0.278,0.38,0.658,2.0
2958,3.1,83.0,51.0,0.253,0.349,0.405,0.754,5.0
2959,5.0,80.0,57.0,0.168,0.268,0.336,0.604,1.0
2960,3.0,77.0,42.0,0.143,0.262,0.286,0.548,7.0
2961,6.0,84.0,52.0,0.237,0.328,0.377,0.705,3.0
2962,3.0,65.0,36.0,0.213,0.315,0.405,0.72,6.0
2963,2.2,49.0,32.0,0.256,0.36,0.489,0.849,4.0
2964,5.0,87.0,47.0,0.253,0.324,0.442,0.766,1.0
2965,3.0,80.0,50.0,0.258,0.33,0.41,0.74,2.0
2966,6.0,89.0,56.0,0.257,0.329,0.43,0.759,5.0
2967,5.1,91.0,57.0,0.259,0.325,0.424,0.749,3.0
2968,6.2,98.0,69.0,0.251,0.315,0.443,0.758,5.0
2969,7.0,84.0,59.0,0.252,0.313,0.404,0.717,8.0
2970,5.0,92.0,58.0,0.228,0.307,0.387,0.694,7.0
2971,4.0,88.0,58.0,0.236,0.306,0.39,0.695,6.0
2972,4.1,78.0,56.0,0.248,0.311,0.416,0.727,6.0
2973,6.0,86.0,56.0,0.246,0.321,0.398,0.72,4.0
2974,7.0,80.0,50.0,0.24,0.305,0.386,0.691,4.0
2975,5.0,100.0,62.0,0.236,0.315,0.413,0.729,9.0
2976,6.0,94.0,66.0,0.236,0.314,0.41,0.723,6.0
2977,6.0,80.0,50.0,0.234,0.297,0.375,0.672,6.0
2978,6.0,105.0,63.0,0.243,0.319,0.389,0.707,6.0
2979,5.1,106.0,71.0,0.254,0.322,0.398,0.72,5.0
2980,7.0,99.0,65.0,0.244,0.31,0.424,0.734,5.0
2981,4.0,73.0,44.0,0.219,0.301,0.386,0.687,7.0
2982,5.0,96.0,60.0,0.233,0.315,0.355,0.67,3.0
2983,6.2,85.0,56.0,0.262,0.326,0.405,0.731,3.0
2984,5.2,92.0,59.0,0.235,0.313,0.37,0.683,4.0
2985,5.0,77.0,44.0,0.218,0.293,0.351,0.644,10.0
2986,5.0,83.0,53.0,0.205,0.275,0.323,0.598,3.0
2987,5.0,66.0,42.0,0.231,0.328,0.38,0.707,9.0
2988,3.0,80.0,50.0,0.273,0.354,0.42,0.774,4.0
2989,5.0,94.0,54.0,0.205,0.29,0.335,0.626,4.0
2990,4.1,82.0,49.0,0.223,0.277,0.317,0.594,6.0
2991,3.0,68.0,39.0,0.258,0.39,0.613,1.003,5.0
2992,5.0,80.0,50.0,0.237,0.312,0.382,0.695,5.0
2993,4.0,82.0,50.0,0.247,0.336,0.429,0.765,6.0
2994,5.0,81.0,46.0,0.236,0.309,0.391,0.699,6.0
2995,5.0,95.0,58.0,0.253,0.334,0.428,0.762,4.0
2996,6.0,82.0,54.0,0.239,0.318,0.399,0.717,5.0
2997,4.0,69.0,44.0,0.243,0.327,0.437,0.763,4.0
2998,3.2,82.0,47.0,0.232,0.314,0.379,0.692,6.0
2999,5.0,86.0,52.0,0.231,0.31,0.374,0.685,5.0
3000,6.0,93.0,57.0,0.219,0.31,0.381,0.691,7.0
3001,6.0,79.0,53.0,0.225,0.299,0.375,0.675,6.0
3002,6.2,76.0,59.0,0.228,0.298,0.391,0.69,3.0
3003,5.0,71.0,46.0,0.243,0.314,0.382,0.696,9.0
3004,4.2,80.0,50.0,0.239,0.336,0.405,0.741,1.0
3005,6.0,89.0,56.0,0.235,0.301,0.383,0.684,6.0
3006,5.1,81.0,62.0,0.236,0.316,0.442,0.758,5.0
3007,5.2,89.0,59.0,0.234,0.307,0.4,0.707,7.0
3008,6.0,81.0,51.0,0.247,0.324,0.432,0.756,3.0
3009,5.0,93.0,60.0,0.231,0.316,0.356,0.672,4.0
3010,5.0,80.0,52.0,0.225,0.298,0.388,0.686,7.0
3011,7.0,79.0,55.0,0.25,0.321,0.407,0.728,7.0
3012,6.0,83.0,54.0,0.201,0.301,0.332,0.633,5.0
3013,5.1,74.0,46.0,0.167,0.265,0.327,0.592,8.0
3014,4.0,82.0,50.0,0.287,0.384,0.529,0.913,4.0
3015,6.2,98.0,63.0,0.224,0.319,0.387,0.707,3.0
3016,5.1,92.0,57.0,0.212,0.312,0.401,0.713,9.0
3017,5.1,98.0,66.0,0.27,0.333,0.473,0.806,4.0
3018,5.0,86.0,60.0,0.231,0.33,0.421,0.752,5.0
3019,5.0,85.0,51.0,0.212,0.297,0.38,0.678,5.0
3020,4.0,76.0,49.0,0.214,0.297,0.371,0.668,6.0
